time,pv,irradiance,temp
20120114:0610,0.0,0.0,-2.32
20120114:0710,0.0,0.0,-2.0
20120114:0810,0.0,0.0,-1.68
20120114:0910,305.5,346.79,-1.36
20120114:1010,481.24,549.65,0.42
20120114:1110,585.47,681.71,2.2
20120114:1210,616.67,727.71,3.98
20120114:1310,555.38,649.68,3.72
20120114:1410,441.36,511.8,3.45
20120114:1510,269.38,318.07,3.18
20120114:1610,0.0,0.0,2.13
20120114:1710,0.0,0.0,1.07
20120114:1810,0.0,0.0,0.01
20120114:1910,0.0,0.0,0.02
20120114:2010,0.0,0.0,0.03
20120114:2110,0.0,0.0,0.03
20120114:2210,0.0,0.0,0.14
20120114:2310,0.0,0.0,0.25
20120115:0010,0.0,0.0,0.36
20120115:0110,0.0,0.0,0.56
20120115:0210,0.0,0.0,0.76
20120115:0310,0.0,0.0,0.95
20120115:0410,0.0,0.0,0.86
20120115:0510,0.0,0.0,0.76
20120115:0610,0.0,0.0,0.66
20120115:0710,0.0,0.0,0.81
20120115:0810,0.0,0.0,0.96
20120115:0910,316.33,358.77,1.1
20120115:1010,508.7,574.81,2.33
20120115:1110,595.34,677.98,3.55
20120115:1210,632.13,723.96,4.77
20120115:1310,357.78,408.78,4.63
20120115:1410,428.58,488.87,4.48
20120115:1510,277.37,324.7,4.33
20120115:1610,0.0,0.0,3.51
20120115:1710,0.0,0.0,2.68
20120115:1810,0.0,0.0,1.85
20120115:1910,0.0,0.0,1.67
20120115:2010,0.0,0.0,1.49
20120115:2110,0.0,0.0,1.31
20120115:2210,0.0,0.0,1.17
20120115:2310,0.0,0.0,1.02
20120116:0010,0.0,0.0,0.87
20120116:0110,0.0,0.0,0.66
20120116:0210,0.0,0.0,0.45
20120116:0310,0.0,0.0,0.24
20120116:0410,0.0,0.0,-0.0
20120116:0510,0.0,0.0,-0.24
20120116:0610,0.0,0.0,-0.49
20120116:0710,0.0,0.0,-0.4
20120116:0810,0.0,0.0,-0.32
20120116:0910,315.28,356.72,-0.24
20120116:1010,519.94,588.68,1.22
20120116:1110,632.53,726.1,2.67
20120116:1210,648.35,749.21,4.13
20120116:1310,553.52,636.78,4.29
20120116:1410,458.32,527.13,4.44
20120116:1510,232.86,276.71,4.59
20120116:1610,0.0,0.0,3.37
20120116:1710,0.0,0.0,2.14
20120116:1810,0.0,0.0,0.91
20120116:1910,0.0,0.0,0.41
20120116:2010,0.0,0.0,-0.08
20120116:2110,0.0,0.0,-0.58
20120116:2210,0.0,0.0,-0.63
20120116:2310,0.0,0.0,-0.68
20120117:0010,0.0,0.0,-0.74
20120117:0110,0.0,0.0,-0.65
20120117:0210,0.0,0.0,-0.57
20120117:0310,0.0,0.0,-0.49
20120117:0410,0.0,0.0,-1.08
20120117:0510,0.0,0.0,-1.67
20120117:0610,0.0,0.0,-2.26
20120117:0710,0.0,0.0,-1.85
20120117:0810,0.0,0.0,-1.44
20120117:0910,327.96,371.21,-1.04
20120117:1010,411.0,466.94,1.01
20120117:1110,496.71,571.18,3.07
20120117:1210,126.42,158.43,5.12
20120117:1310,211.43,250.91,4.84
20120117:1410,269.75,314.98,4.56
20120117:1510,144.51,178.55,4.28
20120117:1610,0.0,0.0,3.61
20120117:1710,0.0,0.0,2.94
20120117:1810,0.0,0.0,2.26
20120117:1910,0.0,0.0,2.5
20120117:2010,0.0,0.0,2.74
20120117:2110,0.0,0.0,2.98
20120117:2210,0.0,0.0,3.16
20120117:2310,0.0,0.0,3.34
20120118:0010,0.0,0.0,3.52
20120118:0110,0.0,0.0,4.28
20120118:0210,0.0,0.0,5.03
20120118:0310,0.0,0.0,5.78
20120118:0410,0.0,0.0,6.2
20120118:0510,0.0,0.0,6.61
20120118:0610,0.0,0.0,7.02
20120118:0710,0.0,0.0,7.37
20120118:0810,0.0,0.0,7.72
20120118:0910,6.02,17.05,8.07
20120118:1010,11.38,25.13,8.75
20120118:1110,20.56,37.7,9.42
20120118:1210,31.01,51.16,10.1
20120118:1310,17.09,33.21,10.38
20120118:1410,10.03,23.34,10.65
20120118:1510,8.21,20.64,10.92
20120118:1610,0.0,0.0,10.84
20120118:1710,0.0,0.0,10.75
20120118:1810,0.0,0.0,10.66
20120118:1910,0.0,0.0,10.51
20120118:2010,0.0,0.0,10.36
20120118:2110,0.0,0.0,10.2
20120118:2210,0.0,0.0,10.14
20120118:2310,0.0,0.0,10.07
20120119:0010,0.0,0.0,10.0
20120119:0110,0.0,0.0,9.96
20120119:0210,0.0,0.0,9.92
20120119:0310,0.0,0.0,9.87
20120119:0410,0.0,0.0,9.92
20120119:0510,0.0,0.0,9.96
20120119:0610,0.0,0.0,10.0
20120119:0710,0.0,0.0,9.95
20120119:0810,0.0,0.0,9.89
20120119:0910,24.15,42.26,9.83
20120119:1010,88.05,117.35,9.77
20120119:1110,198.63,239.85,9.7
20120119:1210,99.23,130.61,9.64
20120119:1310,605.29,707.33,9.41
20120119:1410,240.65,285.86,9.18
20120119:1510,239.42,286.95,8.94
20120119:1610,0.0,0.0,8.34
20120119:1710,0.0,0.0,7.74
20120119:1810,0.0,0.0,7.13
20120119:1910,0.0,0.0,6.86
20120119:2010,0.0,0.0,6.59
20120119:2110,0.0,0.0,6.32
20120119:2210,0.0,0.0,6.11
20120119:2310,0.0,0.0,5.9
20120120:0010,0.0,0.0,5.68
20120120:0110,0.0,0.0,5.43
20120120:0210,0.0,0.0,5.18
20120120:0310,0.0,0.0,4.93
20120120:0410,0.0,0.0,4.8
20120120:0510,0.0,0.0,4.67
20120120:0610,0.0,0.0,4.53
20120120:0710,0.0,0.0,4.93
20120120:0810,0.0,0.0,5.33
20120120:0910,26.76,44.9,5.73
20120120:1010,26.52,44.88,6.59
20120120:1110,48.62,71.81,7.44
20120120:1210,59.89,85.27,8.3
20120120:1310,10.78,24.23,8.51
20120120:1410,223.56,265.58,8.71
20120120:1510,36.3,57.31,8.91
20120120:1610,0.0,0.0,8.65
20120120:1710,0.0,0.0,8.39
20120120:1810,0.0,0.0,8.13
20120120:1910,0.0,0.0,7.83
20120120:2010,0.0,0.0,7.53
20120120:2110,0.0,0.0,7.23
20120120:2210,0.0,0.0,7.47
20120120:2310,0.0,0.0,7.7
20120121:0010,0.0,0.0,7.93
20120121:0110,0.0,0.0,8.43
20120121:0210,0.0,0.0,8.93
20120121:0310,0.0,0.0,9.42
20120121:0410,0.0,0.0,9.53
20120121:0510,0.0,0.0,9.64
20120121:0610,0.0,0.0,9.74
20120121:0710,0.0,0.0,9.75
20120121:0810,0.0,0.0,9.76
20120121:0910,16.49,32.31,9.77
20120121:1010,393.85,454.96,9.95
20120121:1110,368.16,426.76,10.13
20120121:1210,167.32,205.77,10.31
20120121:1310,62.94,89.37,10.22
20120121:1410,411.64,476.17,10.12
20120121:1510,4.85,15.26,10.02
20120121:1610,0.0,0.0,9.31
20120121:1710,0.0,0.0,8.6
20120121:1810,0.0,0.0,7.88
20120121:1910,0.0,0.0,7.57
20120121:2010,0.0,0.0,7.27
20120121:2110,0.0,0.0,6.96
20120121:2210,0.0,0.0,6.54
20120121:2310,0.0,0.0,6.12
20120122:0010,0.0,0.0,5.7
20120122:0110,0.0,0.0,5.59
20120122:0210,0.0,0.0,5.48
20120122:0310,0.0,0.0,5.37
20120122:0410,0.0,0.0,5.39
20120122:0510,0.0,0.0,5.41
20120122:0610,0.0,0.0,5.42
20120122:0710,0.0,0.0,6.05
20120122:0810,0.0,0.0,6.68
20120122:0910,360.43,413.74,7.31
20120122:1010,536.4,613.65,8.27
20120122:1110,214.6,256.26,9.22
20120122:1210,25.34,43.98,10.18
20120122:1310,78.84,107.5,9.93
20120122:1410,176.89,215.61,9.67
20120122:1510,131.44,166.35,9.41
20120122:1610,0.0,0.0,8.38
20120122:1710,0.0,0.0,7.35
20120122:1810,0.0,0.0,6.32
20120122:1910,0.0,0.0,5.61
20120122:2010,0.0,0.0,4.9
20120122:2110,0.0,0.0,4.18
20120122:2210,0.0,0.0,4.14
20120122:2310,0.0,0.0,4.1
20120123:0010,0.0,0.0,4.06
20120123:0110,0.0,0.0,4.18
20120123:0210,0.0,0.0,4.29
20120123:0310,0.0,0.0,4.4
20120123:0410,0.0,0.0,4.42
20120123:0510,0.0,0.0,4.44
20120123:0610,0.0,0.0,4.46
20120123:0710,0.0,0.0,4.2
20120123:0810,0.0,0.0,3.94
20120123:0910,47.77,69.38,3.67
20120123:1010,88.93,116.34,4.88
20120123:1110,144.65,178.13,6.08
20120123:1210,76.26,103.7,7.29
20120123:1310,74.36,101.48,7.32
20120123:1410,216.38,257.25,7.35
20120123:1510,40.33,61.88,7.37
20120123:1610,0.0,0.0,6.72
20120123:1710,0.0,0.0,6.06
20120123:1810,0.0,0.0,5.4
20120123:1910,0.0,0.0,4.88
20120123:2010,0.0,0.0,4.36
20120123:2110,0.0,0.0,3.83
20120123:2210,0.0,0.0,3.27
20120123:2310,0.0,0.0,2.71
20120124:0010,0.0,0.0,2.15
20120124:0110,0.0,0.0,1.59
20120124:0210,0.0,0.0,1.02
20120124:0310,0.0,0.0,0.45
20120124:0410,0.0,0.0,0.85
20120124:0510,0.0,0.0,1.24
20120124:0610,0.0,0.0,1.63
20120124:0710,0.0,0.0,2.41
20120124:0810,0.0,0.0,3.19
20120124:0910,7.34,18.85,3.96
20120124:1010,32.49,52.06,5.21
20120124:1110,163.84,199.7,6.45
20120124:1210,106.44,137.78,7.7
20120124:1310,40.09,61.93,8.22
20120124:1410,64.58,90.82,8.74
20120124:1510,49.64,73.5,9.25
20120124:1610,0.0,0.0,9.26
20120124:1710,0.0,0.0,9.26
20120124:1810,0.0,0.0,9.26
20120124:1910,0.0,0.0,9.17
20120124:2010,0.0,0.0,9.08
20120124:2110,0.0,0.0,8.98
20120124:2210,0.0,0.0,9.0
20120124:2310,0.0,0.0,9.02
20120125:0010,0.0,0.0,9.04
20120125:0110,0.0,0.0,8.89
20120125:0210,0.0,0.0,8.73
20120125:0310,0.0,0.0,8.57
20120125:0410,0.0,0.0,8.52
20120125:0510,0.0,0.0,8.47
20120125:0610,0.0,0.0,8.42
20120125:0710,0.0,0.0,8.35
20120125:0810,0.0,0.0,8.28
20120125:0910,58.72,83.35,8.21
20120125:1010,72.25,99.47,8.71
20120125:1110,31.14,51.16,9.21
20120125:1210,28.21,47.57,9.71
20120125:1310,38.38,60.14,9.56
20120125:1410,26.83,45.78,9.41
20120125:1510,24.03,42.19,9.25
20120125:1610,0.65,7.85,8.93
20120125:1710,0.0,0.0,8.61
20120125:1810,0.0,0.0,8.29
20120125:1910,0.0,0.0,8.16
20120125:2010,0.0,0.0,8.04
20120125:2110,0.0,0.0,7.91
20120125:2210,0.0,0.0,7.98
20120125:2310,0.0,0.0,8.05
20120126:0010,0.0,0.0,8.11
20120126:0110,0.0,0.0,7.94
20120126:0210,0.0,0.0,7.77
20120126:0310,0.0,0.0,7.59
20120126:0410,0.0,0.0,7.35
20120126:0510,0.0,0.0,7.1
20120126:0610,0.0,0.0,6.85
20120126:0710,0.0,0.0,6.62
20120126:0810,0.0,0.0,6.38
20120126:0910,3.89,13.46,6.14
20120126:1010,142.36,175.46,6.3
20120126:1110,158.14,193.0,6.47
20120126:1210,461.4,525.64,6.63
20120126:1310,387.66,444.43,6.97
20120126:1410,135.13,168.4,7.31
20120126:1510,113.48,145.34,7.65
20120126:1610,0.0,1.8,6.92
20120126:1710,0.0,0.0,6.19
20120126:1810,0.0,0.0,5.45
20120126:1910,0.0,0.0,4.78
20120126:2010,0.0,0.0,4.1
20120126:2110,0.0,0.0,3.42
20120126:2210,0.0,0.0,2.97
20120126:2310,0.0,0.0,2.52
20120127:0010,0.0,0.0,2.06
20120127:0110,0.0,0.0,2.5
20120127:0210,0.0,0.0,2.94
20120127:0310,0.0,0.0,3.38
20120127:0410,0.0,0.0,3.49
20120127:0510,0.0,0.0,3.6
20120127:0610,0.0,0.0,3.7
20120127:0710,0.0,0.0,3.64
20120127:0810,0.0,1.8,3.58
20120127:0910,421.98,480.08,3.51
20120127:1010,597.87,687.62,4.78
20120127:1110,686.59,802.6,6.04
20120127:1210,702.89,830.01,7.31
20120127:1310,648.81,760.56,7.36
20120127:1410,545.28,633.93,7.41
20120127:1510,319.47,375.9,7.45
20120127:1610,0.0,2.69,6.43
20120127:1710,0.0,0.0,5.41
20120127:1810,0.0,0.0,4.38
20120127:1910,0.0,0.0,3.87
20120127:2010,0.0,0.0,3.35
20120127:2110,0.0,0.0,2.83
20120127:2210,0.0,0.0,2.49
20120127:2310,0.0,0.0,2.14
20120128:0010,0.0,0.0,1.79
20120128:0110,0.0,0.0,1.96
20120128:0210,0.0,0.0,2.13
20120128:0310,0.0,0.0,2.3
20120128:0410,0.0,0.0,2.2
20120128:0510,0.0,0.0,2.1
20120128:0610,0.0,0.0,2.0
20120128:0710,0.0,0.0,2.11
20120128:0810,0.0,1.8,2.22
20120128:0910,382.35,432.41,2.32
20120128:1010,149.41,180.97,3.21
20120128:1110,449.14,510.4,4.09
20120128:1210,200.79,238.52,4.98
20120128:1310,57.58,81.68,5.18
20120128:1410,15.52,30.52,5.37
20120128:1510,45.65,67.77,5.56
20120128:1610,0.0,2.69,4.82
20120128:1710,0.0,0.0,4.08
20120128:1810,0.0,0.0,3.33
20120128:1910,0.0,0.0,2.86
20120128:2010,0.0,0.0,2.38
20120128:2110,0.0,0.0,1.9
20120128:2210,0.0,0.0,1.58
20120128:2310,0.0,0.0,1.26
20120129:0010,0.0,0.0,0.93
20120129:0110,0.0,0.0,0.67
20120129:0210,0.0,0.0,0.41
20120129:0310,0.0,0.0,0.14
20120129:0410,0.0,0.0,-0.14
20120129:0510,0.0,0.0,-0.42
20120129:0610,0.0,0.0,-0.71
20120129:0710,0.0,0.0,-0.53
20120129:0810,0.0,2.69,-0.35
20120129:0910,212.05,245.92,-0.18
20120129:1010,8.67,20.64,1.28
20120129:1110,90.72,118.14,2.73
20120129:1210,159.35,193.91,4.19
20120129:1310,144.14,177.35,4.22
20120129:1410,93.72,121.97,4.25
20120129:1510,92.74,120.93,4.28
20120129:1610,0.0,2.69,3.37
20120129:1710,0.0,0.0,2.46
20120129:1810,0.0,0.0,1.55
20120129:1910,0.0,0.0,1.55
20120129:2010,0.0,0.0,1.55
20120129:2110,0.0,0.0,1.54
20120129:2210,0.0,0.0,1.55
20120129:2310,0.0,0.0,1.56
20120130:0010,0.0,0.0,1.56
20120130:0110,0.0,0.0,1.5
20120130:0210,0.0,0.0,1.44
20120130:0310,0.0,0.0,1.37
20120130:0410,0.0,0.0,1.2
20120130:0510,0.0,0.0,1.03
20120130:0610,0.0,0.0,0.85
20120130:0710,0.0,0.0,0.77
20120130:0810,0.0,2.69,0.69
20120130:0910,21.49,37.7,0.6
20120130:1010,34.64,53.85,1.04
20120130:1110,128.53,158.73,1.47
20120130:1210,73.39,98.73,1.91
20120130:1310,73.53,98.94,2.34
20120130:1410,51.9,74.5,2.76
20120130:1510,214.49,253.91,3.18
20120130:1610,0.0,3.59,2.12
20120130:1710,0.0,0.0,1.06
20120130:1810,0.0,0.0,0.0
20120130:1910,0.0,0.0,-0.75
20120130:2010,0.0,0.0,-1.51
20120130:2110,0.0,0.0,-2.27
20120130:2210,0.0,0.0,-2.62
20120130:2310,0.0,0.0,-2.97
20120131:0010,0.0,0.0,-3.33
20120131:0110,0.0,0.0,-3.1
20120131:0210,0.0,0.0,-2.88
20120131:0310,0.0,0.0,-2.66
20120131:0410,0.0,0.0,-2.63
20120131:0510,0.0,0.0,-2.61
20120131:0610,0.0,0.0,-2.59
20120131:0710,0.0,0.0,-2.01
20120131:0810,0.0,2.69,-1.43
20120131:0910,60.46,82.56,-0.85
20120131:1010,102.15,128.85,0.21
