time,irradiance,h_sun,temp,wind
20160118:0010,0.0,0.0,-4.41,1.42
20160118:0110,0.0,0.0,-4.35,1.45
20160118:0210,0.0,0.0,-4.29,1.48
20160118:0310,0.0,0.0,-4.24,1.5
20160118:0410,0.0,0.0,-4.16,1.56
20160118:0510,0.0,0.0,-4.08,1.62
20160118:0610,0.0,0.0,-4.0,1.68
20160118:0710,0.0,0.0,-3.1,1.84
20160118:0810,70.17,7.88,-2.2,2.0
20160118:0910,80.35,15.21,-1.3,2.15
20160118:1010,58.74,20.66,0.18,2.43
20160118:1110,95.57,23.72,1.65,2.71
20160118:1210,82.05,24.03,3.13,2.99
20160118:1310,141.72,21.57,3.48,3.01
20160118:1410,67.64,16.61,3.84,3.02
20160118:1510,31.79,9.65,4.19,3.03
20160118:1610,0.0,0.0,3.99,2.77
20160118:1710,0.0,0.0,3.79,2.51
20160118:1810,0.0,0.0,3.59,2.25
20160118:1910,0.0,0.0,3.54,2.21
20160118:2010,0.0,0.0,3.5,2.17
20160118:2110,0.0,0.0,3.46,2.14
20160118:2210,0.0,0.0,3.5,2.09
20160118:2310,0.0,0.0,3.55,2.04
20160119:0010,0.0,0.0,3.59,1.99
20160119:0110,0.0,0.0,2.8,1.77
20160119:0210,0.0,0.0,2.0,1.56
20160119:0310,0.0,0.0,1.2,1.35
20160119:0410,0.0,0.0,1.05,1.2
20160119:0510,0.0,0.0,0.89,1.06
20160119:0610,0.0,0.0,0.74,0.91
20160119:0710,0.0,0.0,1.32,1.09
20160119:0810,63.55,8.0,1.91,1.27
20160119:0910,69.94,15.36,2.49,1.45
20160119:1010,77.39,20.83,3.56,1.72
20160119:1110,60.61,23.91,4.63,1.99
20160119:1210,128.74,24.24,5.7,2.26
20160119:1310,137.19,21.79,5.92,2.07
20160119:1410,92.6,16.83,6.14,1.88
20160119:1510,30.02,9.87,6.36,1.68
20160119:1610,0.0,0.0,5.86,1.43
20160119:1710,0.0,0.0,5.37,1.17
20160119:1810,0.0,0.0,4.87,0.91
20160119:1910,0.0,0.0,4.49,0.87
20160119:2010,0.0,0.0,4.11,0.83
20160119:2110,0.0,0.0,3.74,0.79
20160119:2210,0.0,0.0,3.69,0.71
20160119:2310,0.0,0.0,3.64,0.63
20160120:0010,0.0,0.0,3.59,0.55
20160120:0110,0.0,0.0,3.55,0.53
20160120:0210,0.0,0.0,3.51,0.51
20160120:0310,0.0,0.0,3.46,0.5
20160120:0410,0.0,0.0,3.45,0.39
20160120:0510,0.0,0.0,3.45,0.29
20160120:0610,0.0,0.0,3.44,0.18
20160120:0710,0.0,0.0,3.85,0.24
20160120:0810,68.13,8.13,4.26,0.31
20160120:0910,130.01,15.51,4.67,0.37
20160120:1010,181.12,21.01,5.47,0.61
20160120:1110,116.1,24.12,6.27,0.85
20160120:1210,103.92,24.46,7.07,1.09
20160120:1310,77.39,22.01,7.07,1.37
20160120:1410,73.17,17.05,7.06,1.66
20160120:1510,42.38,10.08,7.06,1.94
20160120:1610,0.0,0.0,6.31,1.74
20160120:1710,0.0,0.0,5.56,1.53
20160120:1810,0.0,0.0,4.81,1.32
20160120:1910,0.0,0.0,4.1,1.46
20160120:2010,0.0,0.0,3.39,1.6
20160120:2110,0.0,0.0,2.69,1.74
20160120:2210,0.0,0.0,2.34,1.76
20160120:2310,0.0,0.0,2.0,1.78
20160121:0010,0.0,0.0,1.65,1.81
20160121:0110,0.0,0.0,1.75,1.57
20160121:0210,0.0,0.0,1.85,1.33
20160121:0310,0.0,0.0,1.95,1.09
20160121:0410,0.0,0.0,1.94,1.04
20160121:0510,0.0,0.0,1.92,1.0
20160121:0610,0.0,0.0,1.91,0.95
20160121:0710,0.0,0.0,2.27,1.08
20160121:0810,70.67,8.27,2.62,1.2
20160121:0910,192.28,15.68,2.98,1.32
20160121:1010,125.91,21.2,3.99,1.19
20160121:1110,131.53,24.32,4.99,1.06
20160121:1210,109.09,24.69,5.99,0.92
20160121:1310,121.0,22.24,6.4,0.88
20160121:1410,98.19,17.28,6.8,0.84
20160121:1510,45.03,10.31,7.21,0.8
20160121:1610,0.0,0.0,6.43,0.86
20160121:1710,0.0,0.0,5.65,0.91
20160121:1810,0.0,0.0,4.87,0.97
20160121:1910,0.0,0.0,3.71,0.95
20160121:2010,0.0,0.0,2.55,0.93
20160121:2110,0.0,0.0,1.4,0.91
20160121:2210,0.0,0.0,0.81,1.04
20160121:2310,0.0,0.0,0.23,1.18
20160122:0010,0.0,0.0,-0.35,1.31
20160122:0110,0.0,0.0,-0.98,1.26
20160122:0210,0.0,0.0,-1.61,1.21
20160122:0310,0.0,0.0,-2.25,1.16
20160122:0410,0.0,0.0,-2.08,1.2
20160122:0510,0.0,0.0,-1.92,1.25
20160122:0610,0.0,0.0,-1.75,1.3
20160122:0710,0.0,0.0,-0.07,1.31
20160122:0810,115.28,8.42,1.6,1.33
20160122:0910,351.28,15.84,3.28,1.35
20160122:1010,480.1,21.39,5.23,1.64
20160122:1110,765.48,24.54,7.17,1.93
20160122:1210,670.89,24.92,9.12,2.22
20160122:1310,692.91,22.48,9.03,1.91
20160122:1410,512.86,17.51,8.93,1.6
20160122:1510,55.62,10.53,8.84,1.28
20160122:1610,0.0,0.0,7.67,1.44
